,model_name,week1,week2,week3
0,MIROC6,-0.16617928224730094,-0.14366687159059705,-0.2429304260082743
1,MPI-ESM-1-2-HAM,0.1502598128407758,0.10468919369673281,0.12641991372057962
2,MPI-ESM1-2-HR,-0.0003621215149931596,-0.10587577305092384,-0.14292605320924842
3,MPI-ESM1-2-LR,-0.3834287586913255,-0.16241800048876315,-0.03668182981437305
4,MRI-ESM2-0,0.13551580619831874,0.006881926124218963,0.00303405960867521
5,NorESM2-LM,0.11647232068028193,0.08547560824840116,0.268385818371021
6,NorESM2-MM,-0.05876781388783411,0.026251825213748366,0.08127746168594854
7,GFDL-CM4,0.13852733456068475,-0.060472206377549347,-0.05622804794681559
8,EC-Earth3-Veg-LR,-0.24626581442931914,-0.0931602664261081,-0.06439835633952784
9,EC-Earth3-Veg,0.026698381412872212,-0.051160717408250754,-0.007755292231924859
10,EC-Earth3,-0.038524988749303754,0.015839992164517185,0.06027642563854862
11,CanESM5,-0.062178745823754746,-0.1536476697861672,0.035992773062179365
12,CNRM-ESM2-1,-0.17825635825253058,-0.19834502796967365,0.02254541358209092
13,CNRM-CM6-1,-0.08044530551193294,-0.10795621125082028,-0.16186626635713947
14,CMCC-CM2-SR5,-0.19573278090912619,0.01838972264332612,0.06626202713557684
15,CESM2-WACCM,0.12135839774072714,0.014512395866246624,0.29836090805257287
16,BCC-CSM2-MR,0.06847268814818902,0.030652041993983827,-0.08746637336255692
17,AWI-ESM-1-1-LR,0.34764874706619203,0.19891175693690988,0.15057847504035185
18,ACCESS-CM2,0.27846126810679434,0.06671203558847051,0.027396231149139624
