,model_name,week1,week2,week3
0,MIROC6,0.17383929763741734,0.05638611313958537,0.03264520985748547
1,MPI-ESM-1-2-HAM,0.09979383161277657,-0.026344894465829695,-0.11059008075624185
2,MPI-ESM1-2-HR,-0.04221268138016813,0.0002638927566935884,-0.000276538139076454
3,MPI-ESM1-2-LR,0.03396847784080616,0.06997380227745154,0.13579509646189902
4,MRI-ESM2-0,0.13701170332913196,0.05255336323570459,-0.04935187482486468
5,NorESM2-LM,-0.10378443906644204,-0.13095288125338708,-0.2221836419376935
6,NorESM2-MM,-0.20248862016201438,-0.1512074292955088,-0.1854801471911292
7,GFDL-CM4,0.28883329641549765,0.2594963975173119,0.1761464802903048
8,EC-Earth3-Veg-LR,0.09969341811815415,0.03886624656896807,0.0034215474741983772
9,EC-Earth3-Veg,0.06660309357754186,-0.030448702249668717,-0.003813544472114749
10,EC-Earth3,-0.23802343900962256,-0.30875720575236654,-0.2756098139783311
11,CanESM5,-0.12955379241066822,-0.07980951617244808,-0.07750619199758806
12,CNRM-ESM2-1,0.024171259901413736,0.0997633141960688,0.1494154744646913
13,CNRM-CM6-1,-0.18848114829460938,-0.09859961281770917,-0.13951018454621525
14,CMCC-CM2-SR5,0.18252019859096721,0.11365683610611253,0.17888120350087014
15,CESM2-WACCM,0.1756511384554392,0.020595194424923784,0.06149169609681847
16,BCC-CSM2-MR,-0.15660682923123612,-0.16708935908818998,-0.23139766784341473
17,AWI-ESM-1-1-LR,-0.31028267838952217,-0.2547840274334011,-0.2663370488191846
18,ACCESS-CM2,-0.025153311009103417,0.002202782995756526,-0.0015958668651585267
