,model_name,week1_n,week2_n,week3_n
0,ERA5,23,21,20
1,MIROC6,22,21,20
2,MPI-ESM-1-2-HAM,34,29,25
3,MPI-ESM1-2-HR,27,26,24
4,MPI-ESM1-2-LR,22,19,18
5,MRI-ESM2-0,20,18,17
6,NorESM2-LM,44,40,35
7,NorESM2-MM,44,42,38
8,GFDL-CM4,20,19,19
9,EC-Earth3-Veg-LR,23,21,17
10,EC-Earth3-Veg,22,20,19
11,EC-Earth3,19,17,17
12,CanESM5,35,30,29
13,CNRM-ESM2-1,12,11,9
14,CNRM-CM6-1,10,10,9
15,CMCC-CM2-SR5,40,35,32
16,CESM2-WACCM,39,35,33
17,BCC-CSM2-MR,30,30,24
18,AWI-ESM-1-1-LR,36,31,25
19,ACCESS-CM2,28,25,23
